1,2,3
4,5,6
4,6,7
8,9,1
3,8,1
4,3,5
10,4,7
11,12,13
12,11,14
3,15,5
11,13,16
9,8,17
8,3,18
15,2,19
20,11,21
21,11,16
20,14,11
15,3,2
2,1,22
10,18,3
18,17,8
13,23,24
3,4,10
13,24,22
10,7,25
22,1,9
26,15,19
23,13,12
16,13,22
15,27,5
17,28,9
9,28,16
14,29,30
31,10,25
7,6,32
27,15,26
30,12,14
6,33,34
6,34,32
5,27,33
5,33,6
10,35,18
36,14,20
28,37,21
29,14,36
19,38,26
33,39,34
37,28,40
16,28,21
40,28,17
25,7,41
16,22,9
18,35,42
31,35,10
27,43,33
32,34,41
44,17,18
34,39,45
23,12,30
41,7,32
46,47,48
40,17,44
46,48,49
50,37,40
38,19,51
44,18,42
19,2,52
53,47,46
41,34,45
43,27,26
54,26,38
23,30,55
56,40,44
26,57,43
30,29,58
52,2,22
52,22,24
53,46,59
20,21,60
37,50,61
50,40,56
44,62,56
63,46,49
51,19,52
44,42,62
64,39,33
54,57,26
43,64,33
61,21,37
21,61,60
47,53,65
25,41,66
36,20,60
36,60,67
39,64,68
48,47,69
48,69,70
56,62,71
23,72,24
38,73,54
52,24,74
49,48,75
64,43,57
63,76,59
72,23,55
64,57,77
38,51,49
49,73,38
55,30,58
55,58,78
64,77,68
77,57,79
59,80,53
59,46,63
74,51,52
81,41,45
54,73,82
35,31,83
63,49,76
69,47,84
50,56,85
50,85,61
65,86,47
47,86,84
45,39,68
75,48,70
72,55,78
72,74,24
73,49,75
73,75,87
73,87,82
88,29,36
56,71,89
90,70,69
42,35,83
42,83,91
81,45,92
62,91,93
54,94,79
51,74,95
51,95,49
76,49,95
77,79,96
65,53,80
41,81,66
71,62,93
70,90,97
42,91,62
80,98,65
79,99,96
61,85,100
79,57,54
75,70,97
85,56,89
85,89,101
25,102,31
25,103,102
59,76,104
93,91,105
93,105,106
78,58,107
66,103,25
74,72,108
71,93,89
94,54,82
107,58,29
95,74,108
76,95,104
31,102,83
80,59,104
68,77,109
29,88,110
102,91,83
77,96,109
79,94,99
108,72,78
92,45,68
66,81,111
68,112,92
75,113,87
86,65,98
89,93,114
108,78,115
88,36,67
107,29,110
94,82,116
95,108,117
68,109,112
78,107,115
105,91,118
92,112,119
82,87,116
113,75,97
81,92,120
86,121,84
69,84,122
123,60,61
100,85,101
99,124,125
91,102,118
94,116,99
114,93,106
103,66,126
105,127,106
92,119,120
128,106,127
127,129,128
128,129,130
116,87,113
96,99,125
111,126,66
90,69,122
131,132,80
80,104,131
100,123,61
100,101,133
110,88,134
129,127,135
117,108,115
114,106,136
102,103,137
106,128,136
111,81,120
111,120,138
116,124,99
105,118,139
117,104,95
67,60,123
121,86,98
121,122,84
67,134,88
107,110,134
107,134,140
136,128,130
109,96,141
124,116,142
127,105,139
141,96,125
141,143,109
144,97,90
97,144,113
138,126,111
129,145,130
134,67,146
98,80,132
133,123,100
133,101,147
101,89,147
89,114,148
114,149,148
109,143,112
141,125,150
141,150,151
145,129,135
135,127,152
114,136,149
67,123,153
154,103,126
131,104,117
131,117,155
107,140,115
133,147,156
147,89,157
127,139,152
158,142,116
119,112,159
120,119,160
116,113,158
112,143,161
118,162,139
136,130,149
153,123,163
162,102,137
162,118,102
156,147,164
156,164,165
164,147,157
157,89,148
124,166,125
140,134,167
143,168,161
138,120,160
143,141,168
158,113,144
112,169,159
150,125,166
146,67,170
161,169,112
122,121,171
170,67,153
90,122,172
121,98,171
140,173,115
130,145,174
163,133,156
163,123,133
144,90,172
151,150,175
141,151,168
160,119,159
167,134,146
166,124,142
155,117,115
154,137,103
176,148,149
132,131,155
98,132,177
174,145,178
155,177,132
145,135,179
173,140,167
177,171,98
177,180,171
175,150,166
138,160,181
169,161,182
169,182,183
157,184,164
153,163,185
139,162,152
184,157,148
171,172,122
137,186,162
172,171,187
149,130,174
145,179,178
152,179,135
172,188,144
158,144,189
159,190,191
159,191,160
159,169,190
182,161,168
167,146,192
167,193,173
170,153,192
194,166,142
192,146,170
195,194,142
196,151,175
155,173,197
179,152,198
163,156,165
154,126,199
155,115,173
162,198,152
169,183,190
175,166,194
168,151,200
174,201,149
196,175,202
158,195,142
197,180,177
168,200,182
158,189,203
192,193,167
177,155,197
183,204,190
137,154,205
199,126,138
173,206,197
171,180,187
207,172,187
200,151,196
158,203,195
195,203,208
201,174,178
175,194,209
202,210,196
180,197,211
192,153,185
148,176,184
189,144,188
185,163,212
165,212,163
164,213,165
191,214,160
210,200,196
190,215,191
188,172,207
188,207,216
217,178,179
202,175,218
205,154,219
202,220,210
176,149,201
184,213,164
185,221,192
180,211,187
211,197,206
198,217,179
206,173,222
206,223,211
206,224,223
207,223,216
181,160,214
183,182,200
225,198,162
203,189,226
215,227,214
200,210,228
201,178,217
187,223,207
206,222,224
214,191,215
225,217,198
193,222,173
199,138,181
193,192,229
187,211,223
176,201,230
176,230,184
201,217,231
183,200,228
194,195,208
194,208,232
225,162,186
225,186,233
210,220,234
215,190,204
215,204,235
225,231,217
236,188,216
229,222,193
189,188,236
201,231,230
220,202,218
208,203,237
216,223,224
234,220,238
234,238,239
240,175,209
209,194,232
236,216,241
230,231,242
225,233,242
225,242,231
236,226,189
229,192,221
221,185,212
240,218,175
241,216,224
241,224,243
199,244,219
181,214,245
234,228,210
246,247,248
242,233,249
242,249,250
215,235,251
218,240,252
204,183,253
234,239,254
208,237,232
219,154,199
242,255,230
252,238,220
220,218,252
228,234,254
247,246,256
247,257,248
244,181,245
227,215,251
186,137,205
186,205,258
259,184,230
226,260,203
244,199,181
237,203,260
261,165,213
224,222,243
213,184,259
213,259,262
254,263,228
253,228,264
253,183,228
255,259,230
245,214,227
235,204,253
265,246,248
266,247,267
266,257,247
247,256,267
255,242,250
261,212,165
261,213,262
229,268,222
233,269,249
222,268,270
222,270,243
240,271,252
272,256,246
261,273,212
248,257,274
272,246,265
272,265,275
265,248,274
209,232,271
253,276,235
258,233,186
237,256,232
251,235,277
257,266,278
257,278,279
239,238,280
261,262,281
282,232,256
264,228,263
271,232,282
253,264,276
263,254,239
262,259,255
227,251,283
271,240,209
245,227,284
249,269,250
256,272,282
282,272,285
205,219,258
245,286,244
236,241,287
268,229,288
221,212,273
277,289,251
290,238,252
277,235,276
273,261,281
219,244,291
270,268,292
293,260,294
221,288,229
226,236,287
286,291,244
243,270,295
284,286,245
267,256,237
280,296,239
297,265,274
297,275,265
271,290,252
262,255,281
263,239,296
294,260,226
296,298,263
299,266,267
299,278,266
267,237,299
238,290,280
250,269,300
264,263,298
275,285,272
288,221,273
250,281,255
284,227,283
283,251,289
241,295,287
297,274,301
274,257,279
274,279,301
258,302,233
269,233,302
294,226,287
294,303,304
270,305,295
241,243,295
271,306,307
273,281,308
306,271,282
237,260,293
299,309,278
281,250,300
294,304,293
285,306,282
293,299,237
291,258,219
297,310,275
303,294,287
286,284,311
284,283,311
264,298,312
277,313,289
276,264,314
264,312,314
300,269,315
316,288,273
316,273,308
269,317,315
302,317,269
277,276,313
310,297,301
295,318,303
292,319,270
293,304,309
307,290,271
299,293,309
289,313,320
308,281,321
280,290,322
301,279,323
324,268,288
303,287,295
278,309,325
321,281,300
307,326,327
307,327,290
315,321,300
313,276,328
321,329,308
285,307,306
285,275,330
279,278,325
303,318,331
292,268,324
318,295,305
296,280,332
324,288,333
298,296,334
305,270,319
321,315,335
304,303,336
283,289,320
316,333,288
308,337,316
302,258,338
323,279,325
339,324,333
338,258,291
285,330,307
311,340,286
302,338,317
313,328,341
336,309,304
312,342,314
317,343,335
331,318,344
322,290,327
322,327,345
337,308,329
291,286,340
330,275,310
310,301,323
310,323,346
340,311,347
334,348,298
315,317,335
318,305,349
320,313,341
350,325,309
317,338,343
338,351,343
336,303,352
348,312,298
346,330,310
338,291,353
354,283,320
325,355,323
318,356,344
323,355,357
323,357,346
330,326,307
319,349,305
322,332,280
332,322,358
352,303,331
336,352,359
356,318,349
336,360,309
328,276,314
328,314,361
332,362,334
353,351,338
320,363,364
292,324,339
319,292,365
316,337,366
325,350,355
320,341,363
311,283,354
358,322,345
352,331,367
335,368,321
352,369,359
342,370,314
326,371,327
331,344,367
326,330,371
358,345,372
366,333,316
296,332,334
291,340,353
334,373,348
354,320,364
354,364,374
375,330,346
342,312,348
366,339,333
375,371,330
376,292,339
377,359,369
367,369,352
346,357,378
327,371,379
360,359,380
335,343,381
370,361,314
337,329,382
370,342,383
359,377,380
359,360,336
345,327,379
365,292,376
347,311,354
353,340,384
341,328,361
329,321,368
371,375,385
335,381,368
349,386,356
387,343,351
375,346,378
375,378,388
375,388,389
385,375,389
381,343,387
377,369,390
351,353,391
350,309,360
365,349,319
392,369,367
340,347,384
381,387,393
362,332,358
345,394,372
361,395,341
387,351,391
366,337,382
378,357,396
390,369,392
341,395,363
360,380,397
345,379,394
395,361,398
347,354,374
350,360,397
355,350,396
398,361,399
362,358,372
362,372,400
380,401,402
390,403,404
399,361,370
398,399,405
370,383,406
385,407,371
362,400,408
392,409,410
362,411,334
393,387,391
401,380,377
379,371,407
383,342,412
383,412,413
403,390,392
367,344,414
394,379,407
412,342,348
412,348,415
392,367,409
399,370,406
395,398,416
382,329,368
391,353,384
372,417,400
373,334,411
411,418,373
419,349,365
419,365,420
386,349,419
386,419,421
396,357,355
390,401,377
396,388,378
368,381,422
398,405,423
394,417,372
402,397,380
381,424,422
395,416,425
383,413,406
344,426,414
404,403,427
389,428,429
410,403,392
409,367,414
425,363,395
405,399,430
405,430,431
362,408,411
339,366,376
428,389,388
401,390,404
388,396,432
429,433,389
356,386,426
356,426,344
434,396,350
435,429,428
407,385,436
416,398,423
430,399,406
433,437,389
368,422,438
382,368,438
376,366,439
432,428,388
432,435,428
440,363,425
438,441,382
393,391,442
393,442,424
366,382,441
366,441,439
429,443,444
429,435,443
405,445,423
391,384,442
397,402,446
437,385,389
434,350,397
434,397,447
432,396,434
413,412,448
381,393,424
384,347,374
364,363,440
415,348,373
419,420,421
447,449,434
444,433,429
430,406,413
435,450,451
435,432,450
420,365,376
420,376,452
412,415,448
433,453,437
404,402,401
416,423,454
386,421,455
374,364,456
374,457,384
411,408,418
409,414,458
441,422,459
420,452,421
437,453,460
437,460,385
435,451,443
422,441,438
394,436,461
425,416,454
439,441,462
444,463,433
452,376,439
457,442,384
464,454,423
400,417,465
402,404,466
460,436,385
446,447,397
436,394,407
444,443,467
445,405,431
468,413,448
468,430,413
408,400,469
415,373,470
386,455,471
426,386,471
466,404,472
434,449,450
450,432,434
466,446,402
464,423,445
424,473,422
445,431,474
443,475,467
457,374,456
364,440,476
424,442,477
460,453,478
468,448,479
394,461,417
457,456,480
466,481,446
431,430,482
439,462,483
414,426,484
463,453,433
463,485,453
455,421,452
415,470,486
427,472,404
456,364,476
445,474,487
461,436,488
451,450,489
462,441,459
452,439,483
443,451,475
447,490,449
490,446,491
410,409,458
458,414,484
440,492,476
373,418,470
472,427,493
454,464,494
490,495,449
496,497,498
473,459,422
484,426,471
446,490,447
499,485,463
498,497,500
501,462,459
472,502,503
476,504,456
473,424,477
450,449,489
469,400,465
505,500,497
482,430,468
503,466,472
455,452,506
466,507,508
498,500,509
497,496,431
498,509,510
427,403,493
418,408,469
511,470,418
492,440,425
436,460,488
486,448,415
464,445,487
473,501,459
452,483,506
471,455,512
457,480,513
477,442,513
505,497,431
505,431,482
514,490,491
455,506,512
495,490,514
431,496,515
515,474,431
475,451,516
495,489,449
517,483,462
517,518,483
502,472,493
487,494,464
510,496,498
457,513,442
491,446,481
473,477,519
500,505,520
509,521,510
485,478,453
487,474,522
425,454,492
454,494,523
