1,2,3
1,4,5
4,1,3
6,7,8
5,9,1
5,7,6
9,5,10
10,5,6
9,10,11
2,1,12
1,9,12
4,3,13
5,4,7
13,14,4
3,2,15
13,3,16
4,17,7
9,11,12
7,17,8
16,3,15
6,8,18
10,6,18
2,12,19
12,11,20
17,4,14
21,2,19
21,15,2
14,22,23
14,23,17
17,24,8
14,13,22
13,16,22
20,19,12
18,24,25
8,24,18
18,26,10
11,10,27
15,28,16
27,10,26
17,23,29
18,25,26
20,11,27
22,16,28
22,28,30
23,22,31
29,24,17
29,23,32
25,24,33
22,30,31
24,29,34
26,25,35
27,26,36
32,23,31
32,34,29
20,37,38
15,21,39
40,41,42
40,42,43
40,43,44
40,44,45
35,25,46
35,36,26
33,24,34
28,15,47
32,31,48
43,42,49
21,19,50
51,52,53
51,41,40
46,25,33
46,33,54
41,51,53
27,37,20
45,44,55
47,30,28
56,42,41
51,40,45
51,45,52
19,20,38
43,57,44
30,47,58
32,48,59
48,31,60
43,49,61
39,21,50
39,47,15
61,49,62
60,31,30
60,63,48
41,53,64
27,36,37
45,55,65
38,66,19
33,34,67
56,41,64
56,49,42
50,19,66
62,49,68
52,45,65
34,32,59
34,59,67
61,57,43
30,69,60
61,62,70
59,48,71
54,33,67
57,72,55
71,65,73
57,61,70
67,59,74
59,71,73
59,75,74
65,71,63
76,63,77
52,65,76
66,38,78
69,30,58
70,62,79
63,60,69
63,69,77
73,75,59
53,76,64
63,71,48
63,76,65
56,68,49
55,73,65
55,44,57
37,36,80
75,73,81
76,53,52
64,76,82
50,83,39
68,56,84
73,55,72
37,78,38
46,85,35
39,58,47
36,35,85
36,85,80
76,77,82
58,39,83
81,73,86
69,58,87
72,57,70
72,70,88
85,46,54
74,75,89
73,72,86
54,90,85
84,56,91
56,64,91
86,72,92
82,77,93
54,67,74
62,68,94
78,37,80
87,77,69
79,62,94
94,95,79
80,85,96
85,90,97
66,78,98
99,88,70
79,99,70
50,66,98
74,89,100
84,101,68
101,84,102
94,68,101
94,101,103
54,74,104
58,83,105
64,82,106
81,107,75
75,107,108
92,72,88
99,79,109
95,94,103
96,85,97
81,86,110
108,89,75
106,111,64
91,102,84
77,87,93
92,110,86
83,50,98
91,64,111
80,112,78
90,54,104
106,82,93
87,58,105
98,78,112
105,83,113
88,114,92
95,109,79
102,91,115
87,105,116
115,91,111
96,117,80
118,92,114
118,110,92
112,119,98
106,93,120
80,117,112
107,81,110
74,100,104
107,110,121
102,115,122
111,106,123
87,124,93
100,89,125
96,126,117
124,120,93
